*----------------------------------------------------------------------------------------
*	Innovus 17.11-s080_1 (64bit) 08/04/2017 11:13 (Linux 2.6.18-194.el5)
*	
*
* 	Date & Time:	2021-Nov-02 01:33:24 (2021-Nov-02 00:33:24 GMT)
*
*----------------------------------------------------------------------------------------
*
*	Design: IIR_filter_mask_in
*
*	Liberty Libraries used: 
*	        MyAnView: /home/isa02_2021_2022/Desktop/Git/Lab01/innovus/IIR_filter_mask_in.enc.dat/libs/mmmc/NangateOpenCellLibrary_typical_ecsm_nowlm.lib
*
*	Power Domain used: 
*		Rail:        VDD 	Voltage:        1.1 
*
*       Power View : MyAnView
*
*       User-Defined Activity : N.A.
*
*	Switching Activity File used: 
*	        ../vcd/design.vcd
*			Vcd Window used(Start Time, Stop Time):(1.44593e-24, 1.44574e-24) 
*                     Vcd Scale Factor: 1 
**                    Design annotation coverage: 0/614 = 0% 
*
*       Hierarchical Global Activity: N.A.
*
*       Global Activity: N.A.
*
*       Sequential Element Activity: N.A.
*
*       Primary Input Activity: 0.200000
*
*       Default icg ratio: N.A.
*
*       Global Comb ClockGate Ratio: N.A.
*
*	Power Units = 1mW
*
*	Time Units = 1e-09 secs 
*
*       report_power -outfile report_power.txt -sort total -hierarchy all -cell_type all -pg_net all -clock_network all -power_domain all -count_seq_elements_in_clock_network -net
*
-----------------------------------------------------------------------------------------

Group Power For Rail : VDD

Group                           Internal   Switching     Leakage       Total  Percentage 
                                Power      Power         Power         Power  (%)        
-----------------------------------------------------------------------------------------
Sequential                       0.03023     0.01164     0.00307     0.04494        11.3 
Macro                                  0           0           0           0           0 
IO                                     0           0           0           0           0 
Combinational                     0.1806      0.1568      0.0153      0.3527        88.7 
Clock (Combinational)                  0           0           0           0           0 
Clock (Sequential)                     0           0           0           0           0 
-----------------------------------------------------------------------------------------
Total                             0.2108      0.1684     0.01837      0.3976         100 
-----------------------------------------------------------------------------------------


Instance                      Max Toggles   Total Toggles   Internal   Switching     Leakage       Total  Percentage    Cell
                              Input Pins    Output Pins     Power      Power         Power         Power  (%)           Name
----------------------------------------------------------------------------------------------------------------------------
moltb0_mult_17_U3                   2e+08           4e+08   0.001471    0.002308   7.692e-05    0.003856      0.9698    FA_X1
moltb1_mult_17_U3                   2e+08           4e+08   0.001457    0.001588   7.795e-05    0.003122      0.7853    FA_X1
molta1_mult_17_U3                   2e+08           4e+08   0.001452    0.001503   7.654e-05    0.003031      0.7624    FA_X1
moltb0_mult_17_U5                   2e+08           4e+08   0.001448    0.001382   7.086e-05    0.002901      0.7297    FA_X1
moltb0_mult_17_U7                   2e+08           4e+08   0.001448    0.001363   6.817e-05     0.00288      0.7242    FA_X1
moltb0_mult_17_U4                   2e+08           4e+08    0.00145    0.001343   7.518e-05    0.002868      0.7214    FA_X1
moltb0_mult_17_U10                  2e+08           4e+08   0.001449    0.001338   6.832e-05    0.002855       0.718    FA_X1
moltb0_mult_17_U9                   2e+08           4e+08   0.001437    0.001334   6.253e-05    0.002834      0.7127    FA_X1
moltb0_mult_17_U6                   2e+08           4e+08   0.001444      0.0013   6.749e-05    0.002811      0.7071    FA_X1
moltb0_mult_17_U8                   2e+08           4e+08   0.001441    0.001303   6.261e-05    0.002806      0.7058    FA_X1
del_data_out_reg_5_              1.65e+08        1.65e+08   0.001193    0.001496   8.565e-05    0.002774      0.6978    DFFR_X1
del_data_out_reg_3_              1.65e+08        1.65e+08   0.001191    0.001469   8.565e-05    0.002746      0.6907    DFFR_X1
del_data_out_reg_1_              1.65e+08        1.65e+08   0.001175    0.001454   8.565e-05    0.002716       0.683    DFFR_X1
moltb1_mult_17_U7                   2e+08           4e+08   0.001445    0.001181   6.734e-05    0.002694      0.6775    FA_X1
moltb1_mult_17_U4                   2e+08           4e+08   0.001446    0.001144   7.729e-05    0.002668      0.6709    FA_X1
moltb1_mult_17_U6                   2e+08           4e+08   0.001438    0.001145   6.661e-05     0.00265      0.6665    FA_X1
molta1_mult_17_U5                   2e+08           4e+08   0.001442    0.001128   7.103e-05    0.002641      0.6643    FA_X1
moltb1_mult_17_U5                   2e+08           4e+08   0.001441    0.001091   7.174e-05    0.002603      0.6548    FA_X1
molta1_mult_17_U6                   2e+08           4e+08   0.001443    0.001074   6.766e-05    0.002584      0.6499    FA_X1
molta1_mult_17_U4                   2e+08           4e+08   0.001442    0.001064   7.499e-05    0.002581      0.6491    FA_X1
moltb0_mult_17_U102                 2e+08           2e+08  0.0006012    0.001862   3.616e-05      0.0025      0.6287    XOR2_X1
moltb0_mult_17_U13                  2e+08           4e+08   0.001429   0.0009996   7.051e-05      0.0025      0.6287    FA_X1
moltb0_mult_17_U103             1.734e+08           2e+08  0.0006003    0.001854   3.616e-05    0.002491      0.6265    XOR2_X1
moltb0_mult_17_U21                  2e+08           4e+08   0.001433   0.0009557   7.066e-05    0.002459      0.6185    FA_X1
moltb1_mult_17_U14              1.611e+08           4e+08   0.001432   0.0009469   7.908e-05    0.002458      0.6182    FA_X1
moltb0_mult_17_U16                  2e+08           4e+08   0.001441   0.0009463   6.855e-05    0.002456      0.6176    FA_X1
moltb0_mult_17_U14                  2e+08           4e+08   0.001431   0.0009455   7.601e-05    0.002453      0.6169    FA_X1
molta1_mult_17_U16              1.611e+08       3.973e+08   0.001429   0.0009485   6.974e-05    0.002447      0.6155    FA_X1
molta1_mult_17_U14              1.611e+08           4e+08   0.001429   0.0009264   7.611e-05    0.002432      0.6116    FA_X1
moltb0_mult_17_U19                  2e+08           4e+08   0.001427    0.000933   6.678e-05    0.002427      0.6104    FA_X1
moltb1_mult_17_U16              1.611e+08       3.873e+08   0.001397   0.0009153   6.986e-05    0.002382       0.599    FA_X1
molta1_mult_17_U19              1.611e+08       3.856e+08   0.001373   0.0008867   6.853e-05    0.002328      0.5855    FA_X1
moltb1_mult_17_U19              1.611e+08       3.754e+08   0.001335    0.000912   6.624e-05    0.002313      0.5818    FA_X1
molta1_mult_17_U7                   2e+08       3.474e+08   0.001245    0.001005   6.231e-05    0.002312      0.5815    FA_X1
molta1_mult_17_U9               1.611e+08        3.33e+08   0.001201   0.0009956   6.516e-05    0.002262       0.569    FA_X1
molta1_mult_17_U8               1.611e+08       3.353e+08   0.001199   0.0009947   6.181e-05    0.002255      0.5672    FA_X1
moltb1_mult_17_U8               1.611e+08       3.295e+08   0.001182    0.001006    6.24e-05    0.002251       0.566    FA_X1
moltb1_mult_17_U9               1.611e+08       3.141e+08   0.001122    0.001001   6.173e-05    0.002185      0.5495    FA_X1
add_sx_U14                          2e+08           2e+08  0.0001901    0.001978   1.435e-05    0.002183       0.549    INV_X1
add_sx_U12                          2e+08           2e+08  0.0001914    0.001964   1.435e-05     0.00217      0.5458    INV_X1
